"11 (OG/fSOM)"	"10 (t-SNE/fSOM)"	"17 (t-SNE/fSOM)"	"15 (t-SNE/fSOM)"	"3 (OG/fSOM)"	"19 (t-SNE/fSOM)"	"11 (t-SNE/fSOM)"	"18 (t-SNE/fSOM)"	"14 (t-SNE/fSOM)"	"20 (t-SNE/fSOM)"	"5 (OG/fSOM)"	"2 (OG/fSOM)"	"1 (t-SNE/fSOM)"	"7 (OG/fSOM)"	"6 (OG/fSOM)"	"20 (OG/fSOM)"	"4 (OG/fSOM)"	"18 (OG/fSOM)"	"16 (t-SNE/fSOM)"	"15 (OG/fSOM)"	"8 (OG/fSOM)"	"2 (t-SNE/fSOM)"	"7 (t-SNE/fSOM)"	"1 (OG/fSOM)"	"14 (OG/fSOM)"	"13 (t-SNE/fSOM)"	"9 (OG/fSOM)"	"13 (OG/fSOM)"	"6 (t-SNE/fSOM)"	"9 (t-SNE/fSOM)"	"16 (OG/fSOM)"	"12 (t-SNE/fSOM)"	"8 (t-SNE/fSOM)"	"10 (OG/fSOM)"	"19 (OG/fSOM)"	"3 (t-SNE/fSOM)"	"12 (OG/fSOM)"	"4 (t-SNE/fSOM)"	"17 (OG/fSOM)"	"5 (t-SNE/fSOM)"
"5 (t-SNE/fSOM)"	78.0017445740923	76.1002823812698	76.3285772831436	76.8852251567922	73.8076785478656	73.9216734330419	74.8235154049558	74.3096015006908	74.5985567693806	81.6442251483597	82.9629393480147	83.2518323875809	83.7471475562671	85.5841604508125	85.6269979442824	86.2191417245187	87.1035424873342	90.0664397193795	87.9112618549538	89.2924413070291	85.9029311414752	88.5986297582203	87.2140448717637	88.0235155399288	94.4805993846888	94.0269700405802	93.2213314343001	92.08177336537	92.1410193373829	95.3445261240553	94.9476614868352	96.3146992047794	96.2732262619432	96.5683030169786	92.8973866345309	94.2015944788739	94.328527663182	97.4120788052688	97.6250907088034	100
"17 (OG/fSOM)"	77.4247048659514	75.4878636404718	75.8662920036773	76.3593765780605	73.2803766175135	73.3972923733141	74.2659865549317	73.7628757104019	74.006133175088	81.2439024411862	82.4236614991049	82.5091588452184	83.0138690605167	84.8297932671098	84.9371978286933	85.954877089075	86.3885175121245	89.8865662058465	87.4830504470393	89.0006827502655	85.5970866113573	88.1565871231094	86.6194241385807	87.4441908637253	93.4279453155656	93.2104321470172	92.4548321530689	91.0580558230359	91.9618864775007	94.3564710345076	93.9755962063129	94.8407007071924	94.3885847792402	94.9952826173848	93.542662176872	93.7722634282698	93.8706573830379	96.5044215728942	100	97.6250907088034
"4 (t-SNE/fSOM)"	76.8199799958277	75.0263114078705	75.1306543105885	75.5383674798389	72.7608251751934	72.7896980113366	73.7188431630527	73.1835527480378	73.5050802263286	80.6067220770256	81.8523182855055	82.5589516243734	83.0390429384993	85.0365517016026	84.9269965606834	85.2953305346132	86.3030737859038	88.0693418442815	86.0169260113995	87.5457807917457	85.2835300554886	88.1601818118934	86.85151298803	87.581309003397	92.5203611341788	91.9734308161101	92.2617065435318	90.8205167929714	90.8771673046084	94.3132251537127	93.7657113783548	94.8169793842609	95.8864022520561	95.4136176061052	91.6823088419733	93.8797242504893	93.846500516181	100	96.5044215728942	97.4120788052688
"12 (OG/fSOM)"	77.3921416539062	75.3949192220749	75.8206842811736	76.0899118846187	72.5692365630206	73.120232936752	74.0322684000169	73.7988267631554	74.1412742500629	80.6605170429375	82.5538705762369	84.0803120853027	84.6025749204917	85.8433696240265	85.9254120606326	85.1942572783257	87.7260373921165	88.9933960678336	86.93026311854	87.9975175783302	87.4464389392462	90.6469351612543	90.4950934451201	90.9255132182921	91.7834597683049	91.327272921669	94.4991933560436	90.61807148764	91.1784671660039	93.3528721182197	92.9627017458356	93.0508697699799	93.4928432558997	93.3358118043093	91.4005472299941	99.187271217376	100	93.846500516181	93.8706573830379	94.328527663182
"3 (t-SNE/fSOM)"	76.7194089295916	74.698215655402	75.1199114244399	75.3991694464549	71.8804722309922	72.418752827256	73.3339927424069	73.0884400501573	73.4308112169756	80.0479388980501	81.8830972140988	83.5857995212889	84.1143967403481	85.3704592377686	85.3807112591316	84.7114915010878	87.2444598280484	88.4520150329169	86.2863639894382	87.3790752639891	86.8791661263689	90.1598366263868	90.0881547158079	90.4695773982406	91.3706174287918	90.870949593069	93.9664528926664	90.1549951968232	90.673659916911	93.1762828783893	92.7157865355612	92.8649005558858	93.2497497979855	92.9742195024614	91.1955308821006	100	99.187271217376	93.8797242504893	93.7722634282698	94.2015944788739
"19 (OG/fSOM)"	78.2974852306896	76.1115605424114	76.5669411554474	77.2142982468095	74.3307129178213	74.0250013491709	75.0432191985969	74.4218929286139	74.7839618900413	82.4334709638437	83.8330019866536	84.1579604777071	84.5869262181837	87.0124221798031	85.9057674387942	87.2822651962745	87.223980164217	89.9525382170207	87.7322705218202	88.6772312867775	85.769233025505	87.8745549732726	86.3575105616113	87.1515347314404	91.1942428044431	91.1776630773491	91.9793004278645	90.3435788082245	94.3721139003805	91.5120950793287	91.3896981924923	91.3765591280514	91.6907456163665	92.703459055987	100	91.1955308821006	91.4005472299941	91.6823088419733	93.542662176872	92.8973866345309
"10 (OG/fSOM)"	80.5506309680891	78.7178111133075	78.7070642911912	79.2939325763982	76.3927944764765	76.3721905721321	77.3991634104347	76.7256594773514	77.1126897849512	84.4272057136789	85.7875571954538	86.1675308913466	86.6278289085434	88.2459612576119	88.2443094008456	88.765477138088	89.7563261437994	90.6056349351228	89.3322771803271	90.7841994437956	87.2235130487777	89.7745208364891	88.0504193504543	88.999537604954	95.2177617984991	94.8276092642694	94.9022090122844	93.5500350662393	93.6985052430136	94.61216285027	94.6179771121465	95.8131011850811	97.3450986686397	100	92.703459055987	92.9742195024614	93.3358118043093	95.4136176061052	94.9952826173848	96.5683030169786
"8 (t-SNE/fSOM)"	79.354233727792	77.5094683919123	77.3284902755059	77.9429787404426	75.2872185789429	75.305829970171	76.2752004758435	75.7268269417025	76.1414626314883	82.7887709480372	84.3648509262564	85.1536749711477	85.5169115955173	87.5584305197105	87.3988222051735	86.8884768083658	88.3648507942153	89.310982651902	87.972164846368	88.8871250816214	86.6961976070235	89.7456719563239	88.3379874319358	89.1703446001489	94.2169742926851	93.4344900173741	94.0922761586929	93.8178375191914	92.4439047676595	94.7592789183722	94.5946292811925	95.9491304989128	100	97.3450986686397	91.6907456163665	93.2497497979855	93.4928432558997	95.8864022520561	94.3885847792402	96.2732262619432
"12 (t-SNE/fSOM)"	79.2646247071331	77.4922022870549	77.5291601462725	78.0303634569344	75.2407353356842	75.3395763705415	76.211896812531	75.738643850747	76.0194706319954	82.6514345717686	83.9471134847901	84.1181504056458	84.5720902625981	86.4175036959154	86.6325759769737	86.6639163175873	87.8028494482274	90.2933312342868	88.9360983450967	90.1467439268528	86.2526745183338	88.8589052142707	87.3437163165689	88.2530280232672	96.6167275060803	95.6568880606763	93.3279451238062	93.5943256374032	92.1097622997993	94.805219953894	94.7714449535783	100	95.9491304989128	95.8131011850811	91.3765591280514	92.8649005558858	93.0508697699799	94.8169793842609	94.8407007071924	96.3146992047794
"16 (OG/fSOM)"	80.4401742016921	77.658306479947	77.887821242525	78.5377642524686	75.0604990033415	75.5787789094516	76.3756514655497	76.01556113022	76.2900291821404	82.4402274863776	83.7477377157998	83.7294961296849	84.1404026811429	86.2502440210968	86.4552102927446	86.2521665727759	87.2711893245664	90.2186515168359	88.9802529903211	89.7767045452995	85.7066208087712	88.1398536365451	86.8469543843981	87.6818117619998	93.9876999136581	93.5682088639005	93.2884308367003	93.3453222060656	92.2547348948628	99.0956678649076	100	94.7714449535783	94.5946292811925	94.6179771121465	91.3896981924923	92.7157865355612	92.9627017458356	93.7657113783548	93.9755962063129	94.9476614868352
